time,open,high,low,close,Volume
2019-01-16,234.57177132,235.59394774,234.36492584,234.70667055,77636710
2019-01-17,233.83432221,237.35069542,233.7893558,236.48734036,96118435
2019-01-18,238.3039833,240.10263968,236.52151483,239.63498902,127900303
2019-01-22,238.16009079,238.37592956,234.7786168,236.39740754,115531183
2019-01-23,237.43163496,238.13311095,234.41888553,236.89203805,86030287
2019-01-24,236.71217241,237.60250731,235.69593156,237.01794399,59204139
2019-01-25,238.87056006,239.85082778,237.11642043,239.02344585,96883358
2019-01-28,236.87405148,237.26975588,235.43512638,237.20680291,85613655
2019-01-29,237.35069542,237.91727218,236.05566283,236.89203805,66136334
2019-01-30,238.41190268,241.48760509,237.64747372,240.64223659,92473671
2019-01-31,240.57928362,243.24129505,240.36344485,242.75565783,104012073
2019-02-01,242.95351003,243.89780463,242.08116169,242.8725705,85782524
2019-02-04,242.91753691,244.64424703,242.24304077,244.58129405,60744844
2019-02-05,245.01297158,245.91229977,244.5093478,245.60652819,79552774
2019-02-06,245.32773645,245.82236695,244.54532093,245.28277004,58347791
2019-02-07,243.6639793,244.2125695,241.2807596,242.94451675,95481961
2019-02-08,241.69445057,243.34022115,240.86706864,243.24129505,75788861
2019-02-11,243.89780463,244.15860981,242.84559065,243.37619428,68021423
2019-02-12,244.99498502,246.88357422,244.92303877,246.50585638,72270221
2019-02-13,247.34223159,248.15162696,246.91954734,247.30625846,65277204
2019-02-14,246.21807136,247.89082179,245.39968271,246.75766827,83234396
2019-02-15,248.53833808,249.48263268,248.3314926,249.44665955,97088659
2019-02-19,248.64742659,250.53484666,248.63726418,249.87833708,59120804
2019-02-20,249.84236396,250.84061824,249.33874017,250.38196087,76610767
2019-02-21,249.74343785,250.10316913,248.52484816,249.49162596,64214727
2019-02-22,250.11216241,251.23632265,249.47624745,251.03847045,78114616
2019-02-25,252.46840226,252.99001261,251.29927562,251.38021516,69030699
2019-02-26,251.02947716,252.08169114,250.82263168,251.20034952,56844101
2019-02-27,250.48088697,251.44316813,249.54558565,251.09243014,56921570
2019-02-28,250.87659137,251.31726218,250.30102133,250.62477948,69268293
2019-03-01,252.20759709,252.60330149,250.75068543,252.18961053,78880548
2019-03-04,253.25081779,253.4936364,248.97001561,251.27229577,106494637
2019-03-05,251.39820172,251.59605392,250.38196087,250.93055106,59114559
2019-03-06,251.04746373,251.05645701,249.08692828,249.41068642,75039771
2019-03-07,248.96102233,249.10491484,246.47887653,247.32424503,94885089
2019-03-08,245.46263568,247.00048688,244.99498502,246.82961452,85795799
2019-03-11,247.54907708,250.57081979,247.52209723,250.40894071,65098897
2019-03-12,250.96652419,251.87484566,250.77766527,251.35323531,79667530
2019-03-13,252.24357022,253.95229378,252.08169114,253.01699246,80639153
2019-03-14,253.04397231,253.46665655,252.41102513,252.85511339,67518366
2019-03-15,253.40893843,254.91743251,253.21924756,254.10447163,81308979
2019-03-18,254.3212612,255.32391294,254.09543873,255.02582729,62199806
2019-03-19,256.09170933,256.85950571,254.19480061,255.08905758,90268121
2019-03-20,254.87226801,256.08267643,253.21021466,254.3212612,84609210
2019-03-21,253.49926742,257.6002034,253.45410293,257.19372296,79550375
2019-03-22,255.82975527,256.35673458,252.18046422,252.24369451,122659286
2019-03-25,251.90044436,253.08854152,250.78939783,252.05400364,85575197
2019-03-26,253.81541887,254.89033381,252.52371437,253.93284655,68125920
2019-03-27,253.92381366,254.51095207,251.05135189,252.60501045,72224722
2019-03-28,253.23731336,254.01414264,252.08110233,253.56249771,56238545
2019-03-29,255.08002468,255.48650512,253.95091235,255.16132077,82186806
2019-04-01,257.16662427,258.48542747,256.89563731,258.18734181,77617945
2019-04-02,258.37703269,258.54865776,257.51890731,258.31380239,40070351
2019-04-03,259.53324371,259.93069125,258.11507862,258.72028283,68243202
2019-04-04,259.04546718,259.658801,258.34993399,259.40678313,48997505
2019-04-05,260.07521763,260.71655343,259.78616487,260.66235604,58621729
2019-04-08,260.2378098,260.96947459,259.5784082,260.86107981,53566335
2019-04-09,259.89455966,260.21974401,258.973204,259.52421081,66142316
2019-04-10,259.93972415,260.49967354,259.52421081,260.40943488,52601499
2019-04-11,260.89721141,260.9062443,259.7662925,260.33717169,55093100
2019-04-12,261.95406055,262.37860678,260.38323947,262.09858692,69727782
2019-04-15,262.17085011,262.270212,261.11851742,261.92696185,49596685
2019-04-16,262.81218592,262.86638331,261.50241561,262.09858692,52153197
2019-04-17,263.21866636,263.2412486,261.04173778,261.45725112,58268295
2019-04-18,262.04438953,262.2431133,260.74365213,261.97212634,68708513
